id,level,problem_id,name
211,0, 2537,점핑 사다리
212,0, 2545,팬케익 먹기
213,0, 2555,생일 출력하기 STANDARD
214,0, 2556,별 찍기 - 14 STANDARD
215,0, 2603,고속버스 노선
216,0, 2614,청개구리
217,0, 2683,황금 천장
218,0, 2700,볼록 격자 다각형의 내부점
219,0, 2701,육각 퍼즐
220,0, 2706,문자 보내기
221,0, 2707,노말 정렬
222,0, 2715,상범 마법 팬케이크 하우스
223,0, 2717,Model Rocket Height
224,0, 2719,공간 개념 테스트
225,0, 2722,Shuffle’m Up
226,0, 2732,Kindergarten Graduation
227,0, 2734,드럼통 쌓기
228,0, 2735,No Fold’em Hold’em
229,0, 2736,모형 로켓 발사
230,0, 2760,마술사 현우
231,0, 2762,구역 채우기
232,0, 2763,Histology Assistant
233,0, 2766,사탕 나누기 게임
234,0, 2768,세금 계산
235,0, 2772,완전히 다양화된 수열
236,0, 2781,놀이 동산
237,0, 2788,스타트업
238,0, 2833,나이트
239,0, 2834,박스 정렬
240,0, 2835,인기도 조사
241,0, 2838,비숍 낙서
242,0, 2856,동규가 설치한 그림판
243,0, 2868,MONO
244,0, 2874,검정 직사각형
245,0, 2883,남극의 과학자
246,0, 2894,명탐정 홍즈
247,0, 2895,그렘린
248,0, 2901,CHUCK
249,0, 2913,동혁 천문 관측소
250,0, 2918,Arrange
251,0, 2926,비례대표
252,0, 2932,표 회전
253,0, 2945,사과의 개수
254,0, 2952,주기율표
255,0, 2970,두더지
256,0, 2973,TAMNICA
257,0, 2996,큐브 모으기
258,0, 3016,Clustering
259,0, 3021,원형 자갈
260,0, 3064,Minesweeper
261,0, 3065,Tournament
262,0, 3081,프로세서 디자인
263,0, 3082,아름다운 제도
264,0, 3084,FPS
265,0, 3087,상근일
266,0, 3093,새 게임
267,0, 3094,강아지 기다리기
268,0, 3096,영화제
269,0, 3104,쿠키
270,0, 3105,벽 쌓기
271,0, 3106,월급 인상
272,0, 3112,쥐덫
273,0, 3115,꽃
274,0, 3118,과학자
275,0, 3120,PODJELA
276,0, 3124,공원 산책
277,0, 3125,GONDOR
278,0, 3126,반역의 원철이
279,0, 3127,JEZERO
280,0, 3129,상범이의 은밀한 메세지
281,0, 3130,붙인드롬
282,0, 3132,구조조정
283,0, 3134,A Standard Problem
284,0, 3138,STUPOVI
285,0, 3140,GULIVER
286,0, 3141,폭발하는 공
287,0, 3143,울타리를 치자!
288,0, 3145,지리지도
289,0, 3146,SLIKA
290,0, 3147,LIJEN
291,0, 3149,MRAVOGRAD
292,0, 3150,NOGA
293,0, 3152,예쁜 숫자
294,0, 3155,터널
295,0, 3156,노래
296,0, 3157,osmo
297,0, 3158,Sierpinski 삼각형
298,0, 3160,24 성냥개비 퍼즐
