id,algo_id,algo_name_kr,algo_name_en,algo_url,algo_cnt
100,10,벨만–포드,Bellman–Ford,/problem/tag/10,20
101,69,스플레이 트리,Splay tree,/problem/tag/69,20
102,166,다차원 세그먼트 트리,Multidimensional segment tree,/problem/tag/166,19
103,168,평면 그래프,Planar graph,/problem/tag/168,19
104,2,아호-코라식,Aho-Corasick,/problem/tag/2,18
105,110,벌래캠프–매시,Berlekamp–Massey,/problem/tag/110,18
106,171,순열 사이클 분할,Permutation cycle decomposition,/problem/tag/171,17
107,27,확장 유클리드 호제법,Extended Euclidean algorithm,/problem/tag/27,16
108,64,회전하는 캘리퍼스,Rotating calipers,/problem/tag/64,16
109,116,물리학,Physics,/problem/tag/116,16
110,29,페르마의 소정리,Fermat's little theorem,/problem/tag/29,15
111,153,이중 연결 요소,Biconnected component,/problem/tag/153,15
112,155,머지 소트 트리,Merge sort tree,/problem/tag/155,15
113,51,뫼비우스 반전 공식,Möbius inversion,/problem/tag/51,14
114,61,라빈–카프,Rabin–Karp,/problem/tag/61,14
115,63,정규 표현식,Regular Expression,/problem/tag/63,14
116,98,링크/컷 트리,Link/cut tree,/problem/tag/98,14
117,107,커넥션 프로파일을 이용한 다이나믹 프로그래밍,Dynamic programming using connection profile,/problem/tag/107,14
118,108,덱을 이용한 다이나믹 프로그래밍,Dynamic programming using a deque,/problem/tag/108,14
119,44,매내처,Manacher's,/problem/tag/44,13
120,176,0-1 너비 우선 탐색,0-1 BFS,/problem/tag/176,13
121,56,볼록 다각형 내부의 점 판정,Point in convex polygon check,/problem/tag/56,12
122,122,수치해석,Numerical analysis,/problem/tag/122,12
123,138,외판원 순회 문제,Travelling salesman problem,/problem/tag/138,12
124,151,오일러 피 함수,Euler totient function,/problem/tag/151,12
125,154,연결 리스트,Linked list,/problem/tag/154,12
126,157,함수 개형을 이용한 최적화,Slope trick,/problem/tag/157,12
127,134,Alien 트릭,Alien's trick,/problem/tag/134,10
128,156,인터프리터,Interpreter,/problem/tag/156,10
129,3,다각형의 넓이,Area of a polygon,/problem/tag/3,9
130,52,오프라인 동적 연결성 판정,Offline dynamic connectivity,/problem/tag/52,9
131,58,폴라드 로,Pollard rho,/problem/tag/58,9
132,103,선형 계획법,Linear programming,/problem/tag/103,9
133,16,번사이드 보조정리,Burnside's lemma,/problem/tag/16,8
134,57,오목 다각형 내부의 점 판정,Point in non-convex polygon check,/problem/tag/57,8
135,145,트리 동형 사상,Tree isomorphism,/problem/tag/145,8
136,164,모듈로 곱셈 역원,Modular multiplicative inverse,/problem/tag/164,8
137,34,홀의 결혼 정리,Hall's theorem,/problem/tag/34,7
138,36,헝가리안,Hungarian,/problem/tag/36,7
139,47,밀러–라빈 소수 판별법,Miller–Rabin,/problem/tag/47,7
140,112,키타마사,Kitamasa,/problem/tag/112,7
141,146,이산 로그,Discrete logarithm,/problem/tag/146,7
142,60,피타고라스 정리,Pythagoras theorem,/problem/tag/60,6
143,83,Z,Z,/problem/tag/83,6
144,135,도미네이터 트리,Dominator tree,/problem/tag/135,6
145,162,최소 외접원,Minimum enclosing circle,/problem/tag/162,6
146,165,단조 큐를 이용한 최적화,Monotone queue optimization,/problem/tag/165,6
147,179,기댓값의 선형성,Linearity of expectation,/problem/tag/179,6
148,180,쌍대성,Duality,/problem/tag/180,6
149,15,일반적인 매칭,General matching,/problem/tag/15,5
150,53,회문 트리,Palindrome tree,/problem/tag/53,5
151,75,스토어–바그너,Stoer–Wagner,/problem/tag/75,5
152,90,크누스 최적화,Knuth optimization,/problem/tag/90,5
153,104,매트로이드,Matroid,/problem/tag/104,5
154,113,뤼카 정리,Lucas theorem,/problem/tag/113,5
155,181,쌍대 그래프,Dual graph,/problem/tag/181,5
156,129,양방향 탐색,Bidirectional search,/problem/tag/129,4
157,23,유향 최소 신장 트리,Directed minimum spanning tree,/problem/tag/23,3
158,82,보로노이 다이어그램,Voronoi diagram,/problem/tag/82,3
159,147,이산 제곱근,Discrete square root,/problem/tag/147,3
160,160,보이어–무어 다수결 투표,Boyer–Moore majority vote,/problem/tag/160,3
161,163,히르쉬버그,Hirschberg's,/problem/tag/163,3
162,178,통계학,Statistics,/problem/tag/178,3
163,21,델로네 삼각분할,Delaunay triangulation,/problem/tag/21,2
164,132,4차원 이상의 기하학,Geometry; hyperdimensional,/problem/tag/132,2
165,159,로프,Rope,/problem/tag/159,2
166,173,춤추는 링크,Dancing links,/problem/tag/173,2
167,174,크누스 X,Knuth's X,/problem/tag/174,2
168,182,접미사 트리,Suffix tree,/problem/tag/182,2
169,94,레드-블랙 트리,Red-black tree,/problem/tag/94,1
170,105,탑 트리,Top tree,/problem/tag/105,1
171,149,이산 k제곱근,Discrete k-th root,/problem/tag/149,1
