number,name,correct_user,submission_cnt,correct_rate,level,avg_try
1202,보석 도둑,2600,16137,22.48,14,4.45
1204,팰린드롬의 개수,31,132,57.407,21,1.74
1205,등수 구하기,973,5972,21.371,7,4.68
1206,사람의 수,41,629,10.705,8,9.34
1207,종이 자르기,10,123,12.5,13,8.0
1208,부분수열의 합 2,1519,10959,21.635,14,4.62
1209,단조수열 만들기,146,473,41.126999999999995,15,2.43
1210,마피아,150,828,21.866,20,4.57
1211,보일의 법칙,10,126,47.619,21,2.1
1212,8진수 2진수,5523,22194,33.213,2,3.01
1213,팰린드롬 만들기,1998,6719,35.698,7,2.8
1214,쿨한 물건 구매,139,1078,19.715999999999998,16,5.07
1215,잘못 작성한 요세푸스 코드,77,590,29.502,17,3.39
1217,하우스 M.D.,60,170,47.244,17,2.12
1218,로봇,14,54,37.838,24,2.64
1219,오민식의 고민,699,7101,14.958,14,6.69
1220,MEGACITY,25,342,15.432,21,6.48
1222,홍준 프로그래밍 대회,265,1776,20.883000000000003,15,4.79
1225,이상한 곱셈,2162,6935,37.91,4,2.64
1226,국회,96,400,32.765,17,3.05
1227,그녀의 마음,15,52,40.541,19,2.47
1230,문자열 거리,59,420,27.7,15,3.61
1233,주사위,832,1674,56.178000000000004,4,1.78
1234,크리스마스 트리,401,1261,42.122,15,2.37
1235,학생 번호,334,790,55.853,7,1.79
1236,성 지키기,1627,5639,36.719,5,2.72
1238,파티,5169,16890,45.003,13,2.22
1239,차트,151,445,40.811,12,2.45
1240,노드사이의 거리,367,890,51.983000000000004,12,1.93
1241,머리 톡톡,89,521,32.841,11,3.04
1242,소풍,236,1156,30.971,13,3.23
1243,팰린드롬,49,207,44.144,21,2.27
1244,스위치 켜고 끄기,2001,12319,20.491999999999997,7,4.88
1245,농장 관리,110,365,42.471000000000004,10,2.35
1246,온라인 판매,552,1319,48.294,6,2.07
1247,부호,655,2784,35.253,3,2.84
1248,맞춰봐,1091,4632,34.778,13,2.88
1250,색칠된 공들,6,855,1.681,24,59.5
1251,단어 나누기,818,2660,44.05,6,2.27
1252,이진수 덧셈,1498,6111,29.406999999999996,5,3.4
1253,좋다,474,3163,21.39,13,4.68
1254,팰린드롬 만들기,1457,4612,40.915,10,2.44
1255,전쟁 - 선전포고,18,122,26.087,17,3.83
1256,사전,2033,10285,28.01,13,3.57
1257,엄청난 부자,37,325,30.081,20,3.32
1258,문제 할당,53,199,49.533,18,2.02
1259,팰린드롬수,4599,8203,63.269,5,1.58
1260,DFS와 BFS,25466,124799,33.672,9,2.97
1261,알고스팟,5499,20741,40.045,12,2.5
1263,시간 관리,195,481,53.13399999999999,10,1.88
1264,모음의 개수,1424,2603,63.00899999999999,4,1.59
1265,순열,30,122,31.915,18,3.13
1266,일어나!,10,1398,2.463,23,40.6
1267,핸드폰 요금,2445,6869,40.089,3,2.49
1268,임시 반장 정하기,940,3482,34.269,5,2.92
1269,대칭 차집합,1540,3950,52.452,8,1.91
1271,엄청난 부자2,2543,11910,33.155,1,3.01
1273,샷,54,402,27.835,17,3.59
1275,커피숍2,1872,9150,27.285,15,3.67
1276,PLATFORME,121,337,43.06,10,2.32
1277,발전소 설치,39,200,25.49,12,3.92
1278,연극,13,32,92.85700000000001,12,1.08
1280,나무 심기,732,6974,16.032,17,6.24
1281,보석상,11,62,55.0,22,1.82
1283,단축키 지정,163,690,32.665,8,3.06
1284,집 주소,876,1220,79.27600000000001,3,1.26
1285,동전 뒤집기,531,1874,50.18899999999999,15,1.99
1287,할 수 있다,57,1204,13.702,15,7.3
1289,트리의 가중치,504,2219,31.959,18,3.13
1290,배럭,18,251,21.686999999999998,21,4.61
1291,이면수와 임현수,84,370,25.0,8,4.0
1292,쉽게 푸는 문제,4555,9261,57.651,6,1.73
1293,생물농축,12,61,37.5,18,2.67
1294,문자열 장식,81,1001,11.345,19,8.81
1296,데이트,538,1728,38.900999999999996,5,2.57
1297,TV 크기,2432,5149,54.08,2,1.85
1298,노트북의 주인을 찾아서,1108,3436,45.63399999999999,16,2.19
1300,K번째 수,3485,13386,38.05,13,2.63
1301,비즈 공예,186,1023,28.615,12,3.49
1302,베스트셀러,2542,6834,46.328,7,2.16
1303,전쟁 - 전투,708,2089,39.664,10,2.52
1305,광고,1314,3357,51.998000000000005,16,1.92
1306,달려라 홍준,346,1047,44.473,16,2.25
1307,마방진,50,333,35.211,17,2.84
1308,D-Day,124,838,22.545,5,4.44
1309,동물원,5702,14180,49.168,10,2.03
1310,달리기 코스,79,400,32.51,17,3.08
1311,할 일 정하기 1,95,351,50.265,15,2.0
1312,소수,764,2400,43.806999999999995,5,2.28
1314,동굴 탐험,14,144,10.526,18,9.5
1315,RPG,427,3150,21.741,19,4.6
1316,그룹 단어 체커,21685,49239,52.358999999999995,6,1.91
1318,포커,28,163,28.570999999999998,12,3.5
1321,군인,383,1106,50.461000000000006,17,1.98
1322,X와 K,376,1295,39.289,12,2.55
1323,숫자 연결하기,98,679,27.374000000000002,11,3.65
1324,젠장,34,243,25.185,14,3.97
1325,효율적인 해킹,3353,27651,20.6,9,4.85
1327,소트 게임,366,1564,31.443,9,3.18
1328,고층 빌딩,1508,6274,31.568,15,3.17
1330,두 수 비교하기,49771,115547,51.905,2,1.93
1332,풀자,23,181,18.852,13,5.3
1333,부재중 전화,447,2300,26.079,3,3.83
1334,다음 팰린드롬 수,165,1481,20.32,8,4.92
1335,여섯 쌍 서로소,4,33,14.286,24,7.0
1336,수열의 개수 NKD,7,39,26.923000000000002,17,3.71
1337,올바른 배열,405,1504,36.919000000000004,7,2.71
1338,알 수 없는 번호,16,1002,6.723,7,14.88
1339,단어 수학,3897,12366,42.777,12,2.34
1340,연도 진행바,127,415,40.705,5,2.46
1341,사이좋은 형제,67,518,20.12,13,4.97
1342,행운의 문자열,750,2425,42.906000000000006,11,2.33
1343,폴리오미노,985,2442,48.835,7,2.05
1344,축구,596,1421,55.91,12,1.79
1345,등차수열,27,374,11.489,14,8.7
1346,탑을 향해서,9,67,33.333,17,3.0
1348,주차장,338,2276,22.208000000000002,19,4.5
1350,진짜 공간,1485,5421,31.84,4,3.14
1351,무한 수열,1198,3979,37.508,12,2.67
1352,문자열,72,546,30.638,15,3.26
1353,합과 곱,84,541,22.764,16,4.39
1354,무한 수열 2,182,683,39.650999999999996,13,2.52
1356,유진수,1133,3147,42.213,5,2.37
1357,뒤집힌 덧셈,3787,9828,44.727,5,2.24
1359,복권,178,807,36.929,6,2.71
1360,되돌리기,113,487,34.769,11,2.88
1362,펫,135,623,28.008000000000003,4,3.57
1364,울타리 치기,20,125,31.25,10,3.2
1365,꼬인 전깃줄,1284,3098,54.592,14,1.83
1368,물대기,137,473,38.268,14,2.61
1369,배열값,39,218,37.5,16,2.67
1371,가장 많은 글자,1784,5608,39.338,4,2.54
1373,2진수 8진수,4929,16696,38.595,4,2.59
1374,강의실,226,820,39.789,12,2.51
1375,나이,13,239,14.13,15,7.08
1376,민식우선탐색,61,1028,10.892999999999999,18,9.18
1377,버블 소트,1566,7327,31.927,13,3.13
1380,귀걸이,154,407,48.58,6,2.06
1381,요구르트의 유통기한,26,279,13.198,15,7.58
1385,벌집,13,46,38.235,15,2.62
1386,f와 g,1,16,100.0,25,1.0
1389,케빈 베이컨의 6단계 법칙,6087,14577,54.372,10,1.84
1390,테트리스,47,148,51.086999999999996,19,1.96
1392,노래 악보,511,781,73.314,4,1.36
1393,음하철도 구구팔,106,644,29.444000000000003,11,3.4
1395,스위치,1193,4268,41.699,18,2.4
1396,크루스칼의 공,273,1481,32.308,20,3.1
1398,동전 문제,369,2428,23.090999999999998,15,4.33
1399,보물의 위치,48,371,22.642,16,4.42
1400,화물차,99,645,25.063000000000002,14,3.99
1402,아무래도이문제는A번난이도인것같다,762,2087,47.536,5,2.1
1404,토너먼트 승자,39,88,58.208999999999996,6,1.72
1405,미친 로봇,1653,6529,33.199,11,3.01
1406,에디터,7942,43492,27.232,8,3.67
1407,2로 몇 번 나누어질까,239,972,44.424,12,2.25
1408,24,1740,4294,46.787,5,2.14
1409,점 칠하기,16,86,25.0,16,4.0
1410,패턴의 개수,54,265,34.839,17,2.87
1411,비슷한 단어,195,496,51.861999999999995,9,1.93
1412,일방통행,107,318,41.63399999999999,18,2.4
1413,박스 안의 열쇠,252,894,38.591,17,2.59
1414,불우이웃돕기,122,501,28.979,15,3.45
1415,사탕,238,2691,13.773,14,7.26
1416,팬 서비스,49,155,37.405,18,2.67
1417,국회의원 선거,362,1413,30.344,6,3.3
1418,K-세준수,177,542,44.03,5,2.27
1419,등차수열의 합,42,290,20.896,12,4.79
1420,학교 가지마!,426,2576,22.793000000000003,19,4.39
1421,나무꾼 이다솜,200,949,26.041999999999998,9,3.84
1422,숫자의 신,292,2062,19.986,16,5.01
1424,새 앨범,83,653,20.097,14,4.98
1425,원숭이 땅을 옮기다,27,165,21.951,13,4.56
1426,카드 넣기,10,81,28.570999999999998,18,3.5
1427,소트인사이드,17183,33661,60.872,6,1.64
1430,공격,51,238,38.346,10,2.61
1431,시리얼 번호,2573,5948,53.772,8,1.86
1434,책 정리,175,388,54.516999999999996,4,1.83
1436,영화감독 숌,10825,29922,44.545,6,2.24
1437,수 분해,140,629,28.926,13,3.46
1439,뒤집기,2579,6513,50.648,6,1.97
1440,타임머신,127,387,40.968,6,2.44
1441,나누어 질까,48,241,29.448,16,3.4
1442,멋진 수,25,158,43.103,18,2.32
1443,망가진 계산기,84,436,26.168000000000003,15,3.82
1444,숌 언어,41,256,29.496,19,3.39
1445,일요일 아침의 데이트,344,2182,21.581,14,4.63
1446,지름길,469,1492,40.925,11,2.44
1448,삼각형 만들기,499,1682,44.673,8,2.24
1449,수리공 항승,2629,7914,38.861999999999995,8,2.57
1450,냅색문제,408,2092,30.471,15,3.28
1451,직사각형으로 나누기,601,2194,37.053000000000004,10,2.7
1453,피시방 알바,2826,5214,63.363,5,1.58
1455,뒤집기 II,57,92,77.027,9,1.3
1456,거의 소수,570,3627,21.873,10,4.57
1459,걷기,389,2449,20.993000000000002,5,4.76
1461,도서관,781,2534,39.604,11,2.53
1462,퀴즈쇼,51,232,29.143,17,3.43
1463,1로 만들기,28446,143219,31.851999999999997,8,3.14
1464,뒤집기 3,90,436,32.609,11,3.07
1467,수 지우기,59,792,21.377,19,4.68
1469,숌 사이 수열,39,197,29.771,11,3.36
1471,사탕 돌리기,59,208,49.58,16,2.02
1473,미로 탈출,40,601,15.094000000000001,16,6.63
1474,밑 줄,29,187,24.576,9,4.07
1475,방 번호,10764,32790,38.965,6,2.57
1476,날짜 계산,10349,19510,67.363,6,1.48
1477,휴게소 세우기,655,2165,42.095,11,2.38
1480,보석 모으기,150,638,32.967,15,3.03
1482,같은 자리 수,17,96,29.825,19,3.35
1484,다이어트,725,2492,34.606,12,2.89
1485,정사각형,905,3635,31.81,7,3.14
1486,등산,380,2959,19.067,15,5.24
1487,물건 팔기,49,302,30.247,8,3.31
1488,숌트링,10,70,24.39,13,4.1
1489,대결,67,243,39.412,16,2.54
1490,자리수로 나누기,74,406,24.666999999999998,11,4.05
1492,합,127,470,43.196999999999996,19,2.32
1493,박스 채우기,444,2527,24.971999999999998,11,4.0
1494,절댓값 수열,68,662,19.484,20,5.13
1495,기타리스트,3208,11851,34.164,10,2.93
1497,기타콘서트,97,537,22.146,10,4.52
1498,주기문,47,183,45.631,17,2.19
1500,최대 곱,704,1535,55.302,10,1.81
1501,영어 읽기,47,302,20.705,11,4.83
1503,세 수 고르기,67,427,20.807,8,4.81
1504,특정한 최단 경로,4915,28852,24.441999999999997,12,4.09
1505,불 켜기,14,71,36.842,17,2.71
1506,경찰서,227,554,51.474,16,1.94
1507,궁금한 민호,1583,4126,47.724,13,2.1
1508,레이스,124,651,24.458000000000002,14,4.09
1509,팰린드롬 분할,1821,5550,46.466,15,2.15
1513,경로 찾기,309,2093,24.601999999999997,14,4.06
1514,자물쇠,414,3588,20.414,18,4.9
1515,수 이어 쓰기,58,219,43.93899999999999,7,2.28
1516,게임 개발,3369,9143,47.835,13,2.09
1517,버블 소트,1984,12043,28.432,15,3.52
1518,뉴 매직 스퀘어,7,65,41.176,20,2.43
1519,부분 문자열 뽑기 게임,46,92,56.79,13,1.76
1520,내리막 길,7055,37063,28.149,12,3.55
1521,랜덤 소트,81,206,58.273,17,1.72
1522,문자열 교환,53,207,41.732,11,2.4
1523,종점,35,137,32.407,17,3.09
1524,세준세비,163,483,51.746,5,1.93
1525,퍼즐,2666,10556,40.468,14,2.47
1526,가장 큰 금민수,1532,3261,58.451,5,1.71
1527,금민수의 개수,650,2205,37.016,10,2.7
1528,금민수의 합,149,758,28.22,12,3.54
1529,동민 수열,34,141,30.631,16,3.26
1531,투명,406,597,76.749,6,1.3
1533,길의 개수,269,955,34.98,17,2.86
1535,안녕,1238,3749,48.836000000000006,9,2.05
1536,"Dance, Dance",15,99,17.241,17,5.8
1539,이진 검색 트리,96,769,38.554,16,2.59
1540,정사각형의 개수,30,80,40.541,12,2.47
1541,잃어버린 괄호,9300,24170,47.808,9,2.09
1543,문서 검색,2437,8496,36.238,7,2.76
1545,안티 팰린드롬,49,376,28.160999999999998,13,3.55
1546,평균,36725,89167,48.973,5,2.04
1547,공,4493,7187,70.094,3,1.43
1548,부분 삼각 수열,34,96,37.778,9,2.65
1549,K,44,285,20.561,15,4.86
1550,16진수,6036,10284,66.637,1,1.5
1551,수열의 변화,1264,2736,54.29600000000001,4,1.84
1553,도미노 찾기,15,25,62.5,8,1.6
1554,나무 심기,6,26,26.087,21,3.83
1555,소수 만들기,52,423,20.077,18,4.98
1557,제곱 ㄴㄴ,423,1864,34.93,21,2.86
1560,비숍,110,335,44.898,9,2.23
1561,놀이 공원,957,6266,22.051,14,4.54
1562,계단 수,1763,5023,47.013000000000005,15,2.13
1563,개근상,1055,2773,50.503,12,1.98
1564,팩토리얼5,350,3775,17.794,9,5.62
1565,수학,80,372,28.776999999999997,12,3.48
1566,P배열,40,286,29.197,11,3.43
1568,새,2124,3344,74.24,4,1.35
1572,중앙값,631,3478,32.079,16,3.12
1573,트리 인코딩,24,89,32.431999999999995,18,3.08
1574,룩 어택,251,687,45.306999999999995,17,2.21
1575,졸업,28,265,25.926,18,3.86
1577,도로의 개수,422,2114,26.965,12,3.71
1580,위치 바꾸기,20,99,28.570999999999998,12,3.5
1581,락스타 락동호,99,452,26.4,13,3.79
1582,아티스트 이동호,32,178,27.35,16,3.66
1584,게임,16,50,57.143,11,1.75
1585,경찰,130,505,30.374000000000002,18,3.29
1587,이분 매칭,104,309,43.333,15,2.31
1588,수열,45,288,27.95,15,3.58
1590,캠프가는 영식,85,440,26.316,10,3.8
1591,수열 복원,68,1402,10.592,20,9.44
1592,영식이와 친구들,1631,2845,64.722,4,1.55
1595,북쪽나라의 도로,56,220,38.356,13,2.61
1598,꼬리를 무는 숫자 나열,1182,2852,47.508,3,2.1
1599,민식어,116,402,38.667,11,2.59
1600,말이 되고픈 원숭이,3210,27425,17.901,11,5.6
1601,바이너리 파워 비숍,19,133,34.545,14,2.89
1602,도망자 원숭이,238,1335,28.0,16,3.57
1603,작은 정사각형,37,237,26.241,19,3.81
1604,정사각형 자르기,44,332,20.465,17,4.89
1605,반복 부분문자열,384,2201,38.209,18,2.62
1606,침투 계획 세우기,42,152,44.681000000000004,6,2.24
1609,차의 공격,14,78,33.333,18,3.0
1612,가지고 노는 1,265,745,43.513999999999996,10,2.3
1613,역사,2277,9856,32.885999999999996,13,3.04
1614,영식이의 손가락,498,2022,30.274,10,3.3
1615,교차개수세기,196,1415,19.959,16,5.01
1616,드럼통 메시지,47,462,12.772,22,7.83
1617,허후민,12,48,60.0,19,1.67
1620,나는야 포켓몬 마스터 이다솜,4539,20755,31.430999999999997,7,3.18
1622,공통 순열,83,548,19.904,7,5.02
1623,신년 파티,54,268,40.909,15,2.44
1624,데크 소트,40,315,25.478,20,3.93
1626,두 번째로 작은 스패닝 트리,342,5938,12.162,21,8.22
1627,결투,26,266,18.977999999999998,20,5.27
1628,수,24,30,100.0,24,1.0
1629,곱셈,6860,36442,25.345,10,3.95
1630,오민식,139,595,33.82,12,2.96
1631,오영식의 보물,8,94,42.105,9,2.38
1632,Line Fighter,5,86,15.152000000000001,19,6.6
1633,최고의 팀 만들기,419,1373,44.386,9,2.25
1637,날카로운 눈,165,1121,27.638,16,3.62
1639,행운의 티켓,142,394,50.355,8,1.99
1640,동전 뒤집기,60,203,47.619,11,2.1
1643,쿠폰,16,80,24.241999999999997,9,4.13
1644,소수의 연속합,4367,14429,42.402,13,2.36
1646,피이보나치 트리,61,213,46.211999999999996,16,2.16
1647,도시 분할 계획,2825,7956,49.165,12,2.03
1648,격자판 채우기,614,1489,55.766999999999996,18,1.79
1649,택시,41,275,21.465999999999998,18,4.66
1650,지민이의 테러 Season II,52,302,23.423000000000002,18,4.27
1652,누울 자리를 찾아라,3510,10633,40.804,5,2.45
1653,양팔 저울,73,438,24.092,16,4.15
1654,랜선 자르기,9309,65208,20.255,8,4.94
1655,가운데를 말해요,3665,16436,32.045,14,3.12
1657,두부장수 장홍준,302,834,53.54600000000001,18,1.87
1658,돼지 잡기,196,697,42.982,19,2.33
1659,수 (Hard),46,146,44.66,24,2.24
1660,캡틴 이다솜,963,3971,33.438,9,2.99
1662,압축,690,3091,32.425,11,3.08
1665,화물열차,49,227,35.0,22,2.86
1666,최대 증가 직사각형 집합,112,569,24.67,18,4.05
1667,지민이의 테러 Season IV,28,165,22.4,15,4.46
1668,트로피 진열,1255,3233,47.305,4,2.11
1669,멍멍이 쓰다듬기,340,1204,37.404,10,2.67
1670,정상 회담 2,617,2215,35.81,14,2.79
1671,상어의 저녁식사,1127,5372,28.359,18,3.53
1672,DNA 해독,595,1314,54.94,4,1.82
1673,치킨 쿠폰,1247,6064,28.819000000000003,4,3.47
1675,팬더 밥주기,6,80,10.909,23,9.17
