id,name,algo,algo_id
5355,화성 수학,수학,124
2720,세탁소 사장 동혁,수학,124
7572,간지(干支),수학,124
2702,초6 수학,수학,124
5361,전투 드로이드 가격,수학,124
1408,24,수학,124
2783,삼각 김밥,수학,124
11006,남욱이의 닭장,수학,124
1019,책 페이지,수학,124
17362,수학은 체육과목 입니다 2,수학,124
5618,공약수,수학,124
13277,큰 수 곱셈,수학,124
1592,영식이와 친구들,수학,124
2621,카드게임,수학,124
2014,소수의 곱,수학,124
14490,백대열,수학,124
11023,더하기 3,수학,124
9550,아이들은 사탕을 좋아해,수학,124
1526,가장 큰 금민수,수학,124
17256,달달함이 넘쳐흘러,수학,124
16673,고려대학교에는 공식 와인이 있다,수학,124
1328,고층 빌딩,수학,124
3062,수 뒤집기,수학,124
1252,이진수 덧셈,수학,124
2436,공약수,수학,124
2858,기숙사 바닥,수학,124
1350,진짜 공간,수학,124
5347,LCM,수학,124
14916,거스름돈,수학,124
10409,서버,수학,124
11944,NN,수학,124
2312,수 복원하기,수학,124
6378,디지털 루트,수학,124
3004,체스판 조각,수학,124
2998,8진수,수학,124
11444,피보나치 수 6,수학,124
5533,유니크,수학,124
2863,이게 분수?,수학,124
17496,스타후르츠,수학,124
5054,주차의 신,수학,124
8741,이진수 합,수학,124
10179,쿠폰,수학,124
2153,소수 단어,수학,124
15954,인형들,수학,124
5073,삼각형과 세 변,수학,124
2985,세 수,수학,124
14489,치킨 두 마리 (...),수학,124
2997,네 번째 수,수학,124
15439,Vera and Outfits,수학,124
3049,다각형의 대각선,수학,124
1188,음식 평론가,수학,124
15353,큰 수 A+B (2),수학,124
10474,분수좋아해?,수학,124
4880,다음수,수학,124
2485,가로수,수학,124
1551,수열의 변화,수학,124
10253,헨리,수학,124
16486,운동장 한 바퀴,수학,124
2484,주사위 네개,수학,124
1788,피보나치 수의 확장,수학,124
14924,폰 노이만과 파리,수학,124
1598,꼬리를 무는 숫자 나열,수학,124
15873,공백 없는 A+B,수학,124
16395,파스칼의 삼각형,수학,124
4299,AFC 윔블던,수학,124
6591,이항 쇼다운,수학,124
10837,동전 게임,수학,124
10166,관중석,수학,124
1356,유진수,수학,124
13900,순서쌍의 곱의 합,수학,124
15667,2018 연세대학교 프로그래밍 경진대회,수학,124
